id,board,black_score,best_move
200,rnbqk1nr/ppp1bppp/4p3/8/3PN3/5N2/PPP2PPP/R1BQKB1R b KQkq - 2 5,-56.0,g8f6
201,r1bqk1nr/pppnbppp/4p3/8/3PN3/3B1N2/PPP2PPP/R1BQK2R b KQkq - 4 6,-66.0,g8f6
202,r1bqk2r/pppnbppp/4pN2/8/3P4/3B1N2/PPP2PPP/R1BQK2R b KQkq - 0 7,-65.0,d7f6
203,r1bqk2r/ppp1bppp/4pn2/6B1/3P4/3B1N2/PPP2PPP/R2QK2R b KQkq - 1 8,-37.0,c7c5
204,r1bqk2r/1pp1bppp/p3pn2/6B1/3P4/3B1N2/PPP2PPP/R2Q1RK1 b kq - 1 9,-54.0,b7b6
205,r1bqk2r/2p1bppp/pp2pn2/6B1/3P4/3B1N2/PPP1QPPP/R4RK1 b kq - 1 10,-64.0,c8b7
206,r2qk2r/1bp1bppp/pp2pn2/6B1/3P4/2PB1N2/PP2QPPP/R4RK1 b kq - 0 11,-61.0,f6d7
207,r2q1rk1/1bp1bppp/pp2pn2/4N1B1/3P4/2PB4/PP2QPPP/R4RK1 b - - 2 12,-11.0,f6d7
208,r2q1rk1/1b2bppp/pp2pn2/2P1N1B1/8/2PB4/PP2QPPP/R4RK1 b - - 0 13,-85.0,b6c5
209,r2q1rk1/1b2bppp/p3pn2/2p1N1B1/8/2PB4/PP2QPPP/3R1RK1 b - - 1 14,-95.0,d8c7
210,r4rk1/1bq1bppp/p3pB2/2p1N3/8/2PB4/PP2QPPP/3R1RK1 b - - 0 15,-74.0,e7f6
211,r4rk1/1bqN1ppp/p3pb2/2p5/8/2PB4/PP2QPPP/3R1RK1 b - - 1 16,-83.0,f8d8
212,r4rk1/1b1N1ppp/p1q1pb2/2p5/6Q1/2PB4/PP3PPP/3R1RK1 b - - 3 17,-261.0,f6e7
213,r4Nk1/1b2bppp/p1q1p3/2p5/6Q1/2PB4/PP3PPP/3R1RK1 b - - 0 18,-267.0,a8f8
214,5rk1/1b2bppp/p1q1p3/2p5/6Q1/2PB4/PP3PPP/3RR1K1 b - - 1 19,-265.0,c6b6
215,5rk1/1b2bppp/pq2p3/2p5/8/2PB4/PP2QPPP/3RR1K1 b - - 3 20,-261.0,g7g6
216,5rk1/1b3ppp/pq2pb2/2p5/8/2PB4/PPQ2PPP/3RR1K1 b - - 5 21,-282.0,g7g6
217,5rk1/1b3pp1/pq2pb1p/2p5/4B3/2P5/PPQ2PPP/3RR1K1 b - - 1 22,-295.0,h6h5
218,1r4k1/1b3pp1/pq2pb1p/2p5/4B3/2P5/PPQ1RPPP/3R2K1 b - - 3 23,-302.0,h6h5
219,1r4k1/1B3pp1/pq2p2p/2p5/7b/2P5/PPQ1RPPP/3R2K1 b - - 0 24,-371.0,b6b7
220,1r4k1/1q3pp1/p3p2p/2p5/Q6b/2P5/PP2RPPP/3R2K1 b - - 1 25,-340.0,h4f6
221,1r4k1/1q1R1pp1/p3pb1p/2p5/Q7/2P5/PP2RPPP/6K1 b - - 3 26,-331.0,b7b5
222,1r4k1/3R1pp1/pq2pb1p/2p5/Q7/2P3P1/PP2RP1P/6K1 b - - 0 27,-386.0,a6a5
223,1r4k1/3R1p2/pq2pbpp/2p5/Q7/2P3P1/PP1R1P1P/6K1 b - - 1 28,-388.0,f6g5
224,1r6/3R1pk1/pq1Rpbpp/2p5/Q7/2P3P1/PP3P1P/6K1 b - - 3 29,-346.0,b6b2
225,1r6/3R1pk1/p2Rpbpp/1Qp5/8/2P3P1/PP3P1P/6K1 b - - 0 30,-430.0,b8b5
226,8/3R1pk1/p3pbpp/1rp5/8/2P3P1/PP1R1P1P/6K1 b - - 1 31,-440.0,h6h5
227,8/3R1pk1/p3pbpp/r1p5/8/P1P3P1/1P1R1P1P/6K1 b - - 0 32,-454.0,g6g5
228,8/R4pk1/p3pbp1/r1p4p/8/P1P3P1/1P1R1P1P/6K1 b - - 1 33,-466.0,g6g5
229,8/R2R1pk1/p3pbp1/r1p5/7p/P1P3P1/1P3P1P/6K1 b - - 1 34,-473.0,g6g5
230,8/R4Rk1/p3pbp1/r1p5/8/P1P3p1/1P3P1P/6K1 b - - 0 35,-654.0,g7h6
231,8/R7/p3pRpk/r1p5/8/P1P3p1/1P3P1P/6K1 b - - 0 36,-670.0,g3h2
232,8/R7/p3pRpk/r1p5/8/P1P5/1P3P1K/8 b - - 0 37,-669.0,a5b5
233,8/R7/p3pRpk/1rp5/1P6/P1P5/5P1K/8 b - - 0 38,-671.0,c5b4
234,8/R7/p3pRpk/1r6/1P6/P7/5P1K/8 b - - 0 39,-677.0,b5b6
235,8/8/R3pRpk/4r3/1P6/P7/5P1K/8 b - - 0 40,-695.0,e5h5
236,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-21.0,g8f6
237,rnbqkb1r/pppppppp/5n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 2 2,-28.0,d7d5
238,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,-35.0,d7d5
239,rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 1 4,-20.0,c5d4
240,rnbqkb1r/pp1p1ppp/4pn2/8/2PN4/2N5/PP2PPPP/R1BQKB1R b KQkq - 0 5,-20.0,d7d5
241,r1bqkb1r/pp1p1ppp/2n1pn2/8/2PN4/2N1P3/PP3PPP/R1BQKB1R b KQkq - 0 6,2.0,f8c5
242,r1bqk2r/pp1pbppp/2n1pn2/8/2PN4/2N1P3/PP2BPPP/R1BQK2R b KQkq - 2 7,-24.0,e8g8
243,r1bq1rk1/pp1pbppp/2n1pn2/8/2PN4/2N1P3/PP2BPPP/R1BQ1RK1 b - - 4 8,-15.0,d7d5
244,r1bq1rk1/pp2bppp/2N1pn2/3p4/2P5/2N1P3/PP2BPPP/R1BQ1RK1 b - - 0 9,-7.0,b7c6
245,r1bq1rk1/p3bppp/2p1pn2/3p4/2P5/1PN1P3/P3BPPP/R1BQ1RK1 b - - 0 10,2.0,e6e5
246,r1bq1rk1/4bppp/2p1pn2/p2p4/2P5/1PN1P3/PB2BPPP/R2Q1RK1 b - - 1 11,-37.0,f8e8
247,r2q1rk1/4bppp/b1p1pn2/p2p4/2P5/1PN1P3/PB2BPPP/2RQ1RK1 b - - 3 12,-17.0,d5c4
248,r2q1rk1/3nbppp/b1p1p3/p2p4/N1P5/1P2P3/PB2BPPP/2RQ1RK1 b - - 5 13,-41.0,h7h6
249,r2q1rk1/3n1ppp/b1p1pb2/p2P4/N7/1P2P3/PB2BPPP/2RQ1RK1 b - - 0 14,-21.0,a6e2
250,r2q1rk1/3n1ppp/b1p1p3/p2P4/8/1P2P3/PN2BPPP/2RQ1RK1 b - - 0 15,-23.0,a6e2
251,r2q1rk1/3n1ppp/B3p3/p2p4/8/1P2P3/PN3PPP/2RQ1RK1 b - - 0 16,-42.0,a8a6
252,3q1rk1/3n1ppp/r3p3/p2p4/8/1P1QP3/PN3PPP/2R2RK1 b - - 1 17,-23.0,a6a8
253,q4rk1/3n1ppp/r3p3/p2p4/N7/1P1QP3/P4PPP/2R2RK1 b - - 3 18,4.0,a6c6
254,q4rk1/3n1ppp/2r1p3/pQ1p4/N7/1P2P3/P4PPP/2R2RK1 b - - 5 19,10.0,f8c8
255,q1r3k1/3n1ppp/2R1p3/pQ1p4/N7/1P2P3/P4PPP/5RK1 b - - 0 20,30.0,c8c6
256,q5k1/3n1ppp/2r1p3/pQ1p4/N7/1P2P2P/P4PP1/5RK1 b - - 0 21,25.0,d7f6
257,q5k1/3n2pp/2r1pp2/pQ1p4/N7/1P2P2P/P4PP1/3R2K1 b - - 1 22,-19.0,d7e5
258,q5k1/3n2pp/2r1p3/pQ1p1p2/N7/1P2P1PP/P4P2/3R2K1 b - - 0 23,14.0,c6c7
259,6k1/3n2pp/Q1r1p3/p2p1p2/N7/1P2P1PP/P4P2/3R2K1 b - - 0 24,-58.0,c6a6
260,6k1/3n2pp/r3p3/p2p1p2/N7/1P2P1PP/P4P2/2R3K1 b - - 1 25,-50.0,a6a7
261,8/3n1kpp/r3p3/p2p1p2/N7/1P2P1PP/P4P2/2R2K2 b - - 3 26,-35.0,a6a7
262,8/3nk1pp/r3p3/p2p1p2/N7/1P2P1PP/P3KP2/2R5 b - - 5 27,0.0,e7d6
263,3k4/3n2pp/r3p3/p2p1p2/N7/1P1KP1PP/P4P2/2R5 b - - 7 28,-26.0,d7e5
264,3k4/3n3p/r3p3/p2p1pp1/N4P2/1P1KP1PP/P7/2R5 b - - 0 29,-41.0,g5g4
265,3k4/3n4/r3p2p/p2p1pp1/N2K1P2/1P2P1PP/P7/2R5 b - - 1 30,-35.0,d7b8
266,3k4/r2n4/2R1p2p/p2p1pp1/N2K1P2/1P2P1PP/P7/8 b - - 3 31,-140.0,d8e7
267,8/r2nk3/1NR1p2p/p2p1pp1/3K1P2/1P2P1PP/P7/8 b - - 5 32,-101.0,d7b6
268,2N5/1r1nk3/2R1p2p/p2p1pp1/3K1P2/1P2P1PP/P7/8 b - - 7 33,-60.0,e7d8
269,8/1r1n4/2RNpk1p/p2p1pp1/3K1P2/1P2P1PP/P7/8 b - - 9 34,-64.0,b7b4
270,8/3n4/2RNpk1p/p2p1pp1/1r3P2/1P1KP1PP/P7/8 b - - 11 35,-27.0,f6e7
271,8/3n4/2RNpk1p/3p1pp1/pr3P2/1PK1P1PP/P7/8 b - - 1 36,-37.0,a4b3
272,8/3n4/2RNpk1p/3p1pp1/1r3P2/1PK1P1PP/8/8 b - - 0 37,-29.0,b4b6
273,1r6/3n4/2RNpk1p/3p1pp1/1P3P2/2K1P1PP/8/8 b - - 0 38,-87.0,g5g4
274,1r6/8/1nRNpk1p/1P1p1pp1/5P2/2K1P1PP/8/8 b - - 0 39,-222.0,g5f4
275,1r6/4k3/1nRNp2p/1P1p1pp1/3K1P2/4P1PP/8/8 b - - 2 40,-218.0,b6d7
276,1r6/3k4/1nRNp2p/1P1pKpp1/5P2/4P1PP/8/8 b - - 4 41,-180.0,b6a8
277,1r6/3k4/1nRNp2p/1P1pKp2/5P2/4P2P/8/8 b - - 0 42,-285.0,b6c4
278,1r6/3k4/1nRNpK2/1P1p1p1p/5P2/4P2P/8/8 b - - 1 43,-9.0,d5d4
279,1r6/3k1N2/1nR1pK2/1P1p1p2/5P1p/4P2P/8/8 b - - 1 44,-326.0,b6c4
280,1r6/3k4/2R1pK2/1P1pNp2/2n2P1p/4P2P/8/8 b - - 3 45,-374.0,c4e5
281,1r6/3k4/2R1pK2/1P1pPp2/7p/4P2P/8/8 b - - 0 46,-391.0,b8f8
282,5r2/3k2K1/2R1p3/1P1pPp2/7p/4P2P/8/8 b - - 2 47,-401.0,f8c8
283,1r6/3k2K1/3Rp3/1P1pPp2/7p/4P2P/8/8 b - - 4 48,-264.0,d7e7
284,1r6/4k1K1/1P1Rp3/3pPp2/7p/4P2P/8/8 b - - 0 49,-301.0,b8b7
285,8/1r2k3/1P1Rp1K1/3pPp2/7p/4P2P/8/8 b - - 2 50,-322.0,b7b8
286,1r6/4k3/1P1Rp3/3pPpK1/7p/4P2P/8/8 b - - 4 51,-316.0,b8g8
287,7r/1P2k3/3Rp3/3pPpK1/7p/4P2P/8/8 b - - 0 52,-418.0,h8b8
288,1r6/1P2k3/1R2p3/3pPpK1/7p/4P2P/8/8 b - - 2 53,-446.0,f5f4
289,1r6/1P1k4/1R2p3/3pPp2/7K/4P2P/8/8 b - - 0 54,-482.0,d7c7
290,1r6/1P1k4/1R2p3/4Pp2/3P3K/7P/8/8 b - - 0 55,-507.0,d7c7
291,1r6/1Pk5/4p3/4Pp2/1R1P3K/7P/8/8 b - - 2 56,-517.0,b8h8
292,1r6/1P6/2k1p3/4PpK1/1R1P4/7P/8/8 b - - 4 57,-580.0,c6d7
293,1r6/1P6/4pK2/3kPp2/1R1P4/7P/8/8 b - - 6 58,-468.0,f5f4
294,1r6/1P6/4pK2/3kP3/1R1P1p1P/8/8/8 b - - 0 59,-503.0,f4f3
295,1r6/1P6/4pK2/3kP3/3P3P/1R3p2/8/8 b - - 1 60,0.0,f3f2
296,1r6/1P6/4K3/4P3/3Pk2P/1R3p2/8/8 b - - 0 61,-4.0,f3f2
297,1r6/1P6/4K3/4P3/3Pk2P/8/5p2/1R6 b - - 1 62,-3.0,e4d4
298,8/1r6/4K3/4P3/3Pk2P/8/5p2/R7 b - - 1 63,0.0,e4d4
299,8/1r6/3K4/4P3/3k3P/8/5p2/R7 b - - 1 64,16.0,b7b6
300,8/2K5/1r6/4P3/3k3P/8/5p2/R7 b - - 3 65,478.0,b6e6
301,8/2K5/r7/4P3/3k3P/8/5p2/5R2 b - - 5 66,0.0,d4e3
302,8/2K5/r7/4k3/7P/8/5R2/8 b - - 0 67,0.0,a6h6
303,8/2K5/7r/4k3/7P/8/7R/8 b - - 2 68,0.0,h6h5
304,8/3K4/7r/5k2/7P/8/7R/8 b - - 4 69,0.0,f5g4
305,8/4K3/7r/8/6kP/8/7R/8 b - - 6 70,0.0,g4g3
306,8/4K3/8/8/6kR/8/8/8 b - - 0 71,0.0,g4h4
307,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-30.0,g8f6
308,rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,-24.0,e7e6
309,rnbqkb1r/pppppp1p/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-40.0,d7d5
310,rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 1 4,-29.0,f8g7
311,rnbqk2r/ppp1ppbp/5np1/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 3 5,-16.0,f6e4
312,rnbqk2r/ppp1ppbp/6p1/3P2B1/3Pn3/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 6,-7.0,e4g5
313,rnbqk2r/ppp1ppbp/6p1/3P2N1/3P4/2N5/PP2PPPP/R2QKB1R b KQkq - 0 7,-7.0,e7e6
314,rnbqk2r/ppp2pbp/4p1p1/3P2N1/3P4/2N5/PP1QPPPP/R3KB1R b KQkq - 1 8,-2.0,h7h6
315,rnbqk2r/ppp2pbp/6p1/3p2N1/3P4/2N1Q3/PP2PPPP/R3KB1R b KQkq - 1 9,-9.0,e8f8
316,rnbq1k1r/ppp2pbp/6p1/3p2N1/3P1Q2/2N5/PP2PPPP/R3KB1R b KQ - 3 10,-2.0,g7f6
317,rnbq1k1r/ppp2p1p/5bp1/3p2N1/3P1Q1P/2N5/PP2PPP1/R3KB1R b KQ - 0 11,0.0,h7h6
318,rnbq1k1r/pp3p1p/2p2bp1/3p2N1/3PPQ1P/2N5/PP3PP1/R3KB1R b KQ - 0 12,-64.0,h7h6
319,rnbq1k1r/pp3p2/2p2bpp/3p4/3PPQ1P/2N2N2/PP3PP1/R3KB1R b KQ - 1 13,-56.0,c8e6
320,rn1q1k1r/pp3p2/2p1bbpp/3pP3/3P1Q1P/2N2N2/PP3PP1/R3KB1R b KQ - 0 14,-77.0,f6e7
321,rn1q1k1r/pp2bp2/2p1b1pp/3pP3/3P1Q1P/2NB1N2/PP3PP1/R3K2R b KQ - 2 15,-87.0,f8e8
322,rn1q3r/pp2bpk1/2p1b1pp/3pP3/3P1Q1P/2NB1N2/PP3PP1/R4RK1 b - - 4 16,-109.0,h8g8
323,r2q3r/pp1nbpk1/2p1b1pp/3pP3/3P1Q1P/3B1N2/PP2NPP1/R4RK1 b - - 6 17,-108.0,h8g8
324,r6r/pp1nbpk1/1qp1b1pp/3pP3/3P3P/3B1NQ1/PP2NPP1/R4RK1 b - - 8 18,-121.0,h6h5
325,6rr/pp1nbpk1/1qp1b1pp/3pP3/3P1N1P/3B1NQ1/PP3PP1/R4RK1 b - - 10 19,-214.0,d7f8
326,5krr/pp1nbp2/1qp1N1pp/3pP3/3P3P/3B1NQ1/PP3PP1/R4RK1 b - - 0 20,-344.0,f7e6
327,5krr/pp1nb3/1qp1p1Bp/3pP3/3P3P/5NQ1/PP3PP1/R4RK1 b - - 0 21,-388.0,g8g7
328,5k1r/pp1nb3/1qp1p1Qp/3pP3/3P3P/5N2/PP3PP1/R4RK1 b - - 0 22,-565.0,b6d8
329,5kr1/pp1nb3/1qp1Q2p/3pP3/3P3P/5N2/PP3PP1/R4RK1 b - - 0 23,-610.0,b6d8
330,5kr1/pp1nb3/2p1Q2p/3pP3/3P3P/5N2/Pq3PP1/1R3RK1 b - - 1 24,-842.0,b2c2
331,5kr1/pR1nb3/2p1Q2p/3pP3/3P3P/5N2/P1q2PP1/5RK1 b - - 0 25,-860.0,c2g6
332,5kr1/pR1nb3/2p3Qp/3pP3/3P3P/5N2/P4PP1/5RK1 b - - 0 26,-863.0,g8g6
333,5k2/p2Rb3/2p3rp/3pP3/3P3P/5N2/P4PP1/5RK1 b - - 0 27,-865.0,f8e8
334,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,-32.0,d7d5
335,rnbqkbnr/ppp1pppp/8/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 0 2,-17.0,d5d4
336,rnbqkbnr/pp2pppp/2p5/3P4/8/5N2/PP1PPPPP/RNBQKB1R b KQkq - 0 3,-35.0,c6d5
337,rnbqkbnr/pp2pppp/8/3p4/3P4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 4,-35.0,b8c6
338,rnbqkb1r/pp2pppp/5n2/3p4/3P4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 5,11.0,b8c6
339,r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/5NP1/PP2PPBP/RNBQK2R b KQkq - 2 6,18.0,c8f5
340,r2qkb1r/pp2pppp/2n2n2/3p1b2/3P4/5NP1/PP2PPBP/RNBQ1RK1 b kq - 4 7,11.0,e7e6
341,r2qkb1r/pp3ppp/2n1pn2/3p1b2/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq - 1 8,20.0,h7h6
342,r2qk2r/pp3ppp/2nbpn2/3p1bB1/3P4/2N2NP1/PP2PPBP/R2Q1RK1 b kq - 3 9,4.0,h7h6
343,r2q1rk1/pp3ppp/2nbpn2/3p1bB1/3P4/1QN2NP1/PP2PPBP/R4RK1 b - - 5 10,43.0,a8b8
344,r4rk1/pp3ppp/1Qnbpn2/3p1bB1/3P4/2N2NP1/PP2PPBP/R4RK1 b - - 0 11,-36.0,a7b6
345,r4rk1/1p3ppp/1pnbpn2/3p1bB1/3P3N/2N3P1/PP2PPBP/R4RK1 b - - 1 12,-37.0,f5c2
346,r4rk1/1p3ppp/1p1bpn2/3p1bB1/3n3N/2N1P1P1/PP3PBP/R4RK1 b - - 0 13,-130.0,f6e4
347,r4rk1/1p3ppp/1p1bpn2/3p1NB1/8/2N1P1P1/PPn2PBP/R4RK1 b - - 0 14,-318.0,e6f5
348,r4rk1/1p3ppp/1p1b1n2/3p1pB1/8/2N1P1P1/PPn2PBP/2R2RK1 b - - 1 15,-301.0,c2b4
349,r4rk1/1p3ppp/1p1b1B2/3p1p2/1n6/2N1P1P1/PP3PBP/2R2RK1 b - - 0 16,-320.0,g7f6
350,r4rk1/1p3p1p/1p1b1p2/3p1p2/1n6/P1N1P1P1/1P3PBP/2R2RK1 b - - 0 17,-307.0,b4d3
351,r4rk1/1p3p1p/1p1b1p2/3p1p2/8/P1NnP1P1/1P3PBP/1R3RK1 b - - 2 18,-308.0,f8d8
352,r4rk1/1p3p1p/1p3p2/3Nbp2/8/P2nP1P1/1P3PBP/1R3RK1 b - - 0 19,-316.0,g8g7
353,3r1rk1/1p3p1p/1p3p2/3Nbp2/5P2/P2nP1P1/1P4BP/1R3RK1 b - - 0 20,-470.0,e5b2
354,3r1rk1/1p3p1p/1p1b1p2/3N1p2/1P3P2/P2nP1P1/6BP/1R3RK1 b - - 0 21,-478.0,d8a8
355,r4rk1/1p3p1p/1p1b1p2/3N1p2/1P3P2/PR1nP1P1/6BP/5RK1 b - - 2 22,-484.0,d3c5
356,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-39.0,c7c5
357,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-41.0,b8c6
358,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-16.0,e5d4
359,r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,-12.0,g8f6
360,r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/4B3/PPP2PPP/RN1QKB1R b KQkq - 2 5,-21.0,d8f6
361,r1b1k1nr/pppp1ppp/2n2q2/2b5/3NP3/2P1B3/PP3PPP/RN1QKB1R b KQkq - 0 6,-30.0,g8e7
362,r1b1k2r/ppppnppp/2n2q2/2b5/3NP3/2P1B1P1/PP3P1P/RN1QKB1R b KQkq - 0 7,9.0,h7h5
363,r1b1k2r/ppp1nppp/2n2q2/2bp4/3NP3/2P1B1P1/PP3PBP/RN1QK2R b KQkq - 1 8,-13.0,d5e4
364,r1b1k2r/ppp1nppp/2n2q2/1Nb5/4p3/2P1B1P1/PP3PBP/RN1QK2R b KQkq - 1 9,30.0,c5e3
365,r1b1k2r/ppp1nppp/2nN1q2/8/4p3/2P1B1P1/PP3PBP/RN1QK2R b KQkq - 0 10,28.0,c7d6
366,r1b1k2r/pp2nppp/2np1q2/8/4B3/2P1B1P1/PP3P1P/RN1QK2R b KQkq - 0 11,46.0,c8h3
367,r1b2rk1/pp2nppp/2np1q2/8/4B3/2P1B1P1/PP3P1P/RN1Q1RK1 b - - 2 12,-5.0,e7f5
368,r4rk1/pp2nppp/2npbq2/8/4B3/2P1B1P1/PP1N1P1P/R2Q1RK1 b - - 4 13,-1.0,e7f5
369,r4rk1/pp2nppp/2n1bq2/3p4/8/2P1B1P1/PP1N1PBP/R2Q1RK1 b - - 1 14,-15.0,e7f5
370,r4rk1/pp2nppp/2n1bq2/8/3P4/4B1P1/PP1N1PBP/R2Q1RK1 b - - 0 15,-48.0,e6d5
371,r4rk1/pp2nppp/2n2q2/3b4/3PN3/4B1P1/PP3PBP/R2Q1RK1 b - - 2 16,-38.0,f6g6
372,r4rk1/pp2nppp/2n3q1/3b4/3P4/2N1B1P1/PP3PBP/R2Q1RK1 b - - 4 17,-37.0,d5g2
373,r4rk1/pp2nppp/2n3q1/8/3P4/2N1B1P1/PP3PKP/R2Q1R2 b - - 0 18,-24.0,f8e8
374,3r1rk1/pp2nppp/2n3q1/8/3P4/2N1B1P1/PP1Q1PKP/R4R2 b - - 2 19,33.0,e7f5
375,3r1rk1/pp3ppp/2n3q1/3n4/3P4/2N1B1P1/PP1Q1PKP/3R1R2 b - - 4 20,-32.0,c6e7
376,5rk1/pp1r1ppp/2n3q1/3N4/3P4/4B1P1/PP1Q1PKP/3R1R2 b - - 0 21,-40.0,d7d5
377,5rk1/pp3ppp/2n3q1/3r4/3P4/4B1P1/PP1Q1PKP/3RR3 b - - 1 22,-37.0,h7h5
378,3r2k1/pp3ppp/2n3q1/3r4/3P4/2Q1B1P1/PP3PKP/3RR3 b - - 3 23,-33.0,h7h5
379,3r2k1/pp3pp1/2n3qp/3r4/3P4/1Q2B1P1/PP3PKP/3RR3 b - - 1 24,-17.0,g6f5
380,6k1/pp1r1pp1/2n3qp/3r4/3P4/1Q2B1P1/PP1R1PKP/4R3 b - - 3 25,-32.0,g6f5
381,6k1/pp1r1pp1/2n4p/3r4/3Pq3/1Q2B1P1/PP1R1P1P/4R1K1 b - - 5 26,339.0,c6d4
382,6k1/pp1r1pp1/7p/3r4/3Rq3/1Q2B1P1/PP3P1P/4R1K1 b - - 0 27,363.0,d5d4
383,6k1/pp1r1pp1/7p/8/3rq3/1Q2B1P1/PP3P1P/2R3K1 b - - 1 28,667.0,d4d3
384,6k1/pp1r1pp1/7p/8/4q3/3rB1P1/PPQ2P1P/2R3K1 b - - 3 29,701.0,e4f3
385,6k1/pp1r1pp1/8/7p/4q2P/3rB1P1/PPQ2P2/2R3K1 b - - 0 30,714.0,e4f3
386,6k1/pp1r1p2/6p1/7p/4q2P/3rB1P1/PPQ2P2/4R1K1 b - - 1 31,350.0,g8h7
387,2Q3k1/pp1r1p2/6p1/7p/7P/3rBqP1/PP3P2/4R1K1 b - - 3 32,719.0,d7d8
388,5Q2/pp1r1p1k/6p1/7p/7P/3rBqP1/PP3P2/4R1K1 b - - 5 33,749.0,d3d1
389,5Q2/pp1r1p1k/6p1/7p/7P/4PqP1/PP6/4R1K1 b - - 0 34,1048.0,d7d2
390,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,-18.0,e7e5
391,rnbqkbnr/pp1ppppp/2p5/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 1 2,-30.0,g8f6
392,rnbqkb1r/pp1ppppp/2p2n2/8/2P5/5NP1/PP1PPP1P/RNBQKB1R b KQkq - 0 3,-22.0,d7d5
393,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq - 1 4,-26.0,g7g6
394,rnbqkb1r/pp2pppp/2p2n2/8/2p5/5NP1/PP1PPPBP/RNBQ1RK1 b kq - 1 5,-31.0,b8d7
395,rnbqkb1r/pp2pp1p/2p2np1/8/P1p5/5NP1/1P1PPPBP/RNBQ1RK1 b kq - 0 6,5.0,f8g7
396,rnbqk2r/pp2ppbp/2p2np1/8/P1p5/N4NP1/1P1PPPBP/R1BQ1RK1 b kq - 2 7,13.0,d8d5
397,rn1qk2r/pp2ppbp/2p1bnp1/8/P1p5/N4NP1/1PQPPPBP/R1B2RK1 b kq - 4 8,58.0,f6d5
398,rn1q1rk1/pp2ppbp/2p1bnp1/8/P1N5/5NP1/1PQPPPBP/R1B2RK1 b - - 0 9,-1.0,c6c5
399,r2q1rk1/pp1nppbp/2p1bnp1/8/P1N5/1P3NP1/2QPPPBP/R1B2RK1 b - - 0 10,-54.0,f6d5
400,r2q1rk1/pp2ppbp/1np1bnp1/N7/P7/1P3NP1/2QPPPBP/R1B2RK1 b - - 2 11,-7.0,b6d5
401,r4rk1/ppq1ppbp/1np1bnp1/N7/P7/1P3NP1/1BQPPPBP/R4RK1 b - - 4 12,-4.0,b6d5
402,r4rk1/ppq1ppbp/2p1bnp1/3n4/P1N5/1P3NP1/1BQPPPBP/R4RK1 b - - 6 13,-2.0,d5b4
403,r4rk1/ppq1ppbp/2p1bnp1/8/PnN5/1P3NP1/1B1PPPBP/RQ3RK1 b - - 8 14,0.0,a8d8
404,r2r2k1/ppq1ppbp/2p1bnp1/4B3/PnN5/1P3NP1/3PPPBP/RQ3RK1 b - - 10 15,-21.0,c7d7
405,r1qr2k1/pp2ppbp/2p1bnp1/4B3/PnN5/1P3NP1/1Q1PPPBP/R4RK1 b - - 12 16,11.0,e6h3
406,r1qr2k1/pp2ppbp/2p2np1/P3B3/1nN5/1P3NPb/1Q1PPPBP/R4RK1 b - - 0 17,7.0,c6c5
407,r1qr2k1/pp2ppbp/2p2np1/P3B3/1nN5/1P3NP1/1Q1PPPKP/R4R2 b - - 0 18,9.0,c6c5
408,r1qr2k1/pp2ppbp/5np1/P1p1B3/1nN5/1P3NP1/1Q1PPPKP/2R2R2 b - - 1 19,30.0,c8c6
